shop,ProductID,name,category,price,url
Brickmo,75454,LEGO Star Wars 75454 Imperial Remnant AT-AT...,Lego Star Wars,132.58,https://www.brickmo.com/en/new-at-brickmo/lego/87331/lego-star-wars-75454-imperial-remnant-at-at-with-int-4-75454?c=6055
Brickmo,75349,LEGO Star Wars 75349 Captain Rex Helmet 75349,Lego Star Wars,72.28,https://www.brickmo.com/en/new-at-brickmo/lego/52945/lego-star-wars-75349-captain-rex-helmet-75349?c=6055
Brickmo,75345,LEGO Star Wars 75345 501st Clone Troopers...,Lego Star Wars,20.62,https://www.brickmo.com/en/new-at-brickmo/lego/52104/lego-star-wars-75345-501st-clone-troopers-battle-pack-75345?c=6055
Brickmo,75401,LEGO Star Wars 75401 Ahsoka's Jedi Interceptor...,Lego Star Wars,37.15,https://www.brickmo.com/en/new-at-brickmo/lego/72213/lego-star-wars-75401-ahsoka-s-jedi-interceptor-75401?c=6055
Brickmo,75455,LEGO Star Wars 75455 Boba Fett 75455,Lego Star Wars,139.45,https://www.brickmo.com/en/new-at-brickmo/lego/87308/lego-star-wars-75455-boba-fett-75455?c=6055
Brickmo,75331,LEGO Star Wars 75331 The Razor Crest 75331,Lego Star Wars,618.97,https://www.brickmo.com/en/new-at-brickmo/lego/50734/lego-star-wars-75331-the-razor-crest-75331?c=6055
Brickmo,75192,LEGO Star Wars 75192 Millennium Falcon 75192,Lego Star Wars,784.3,https://www.brickmo.com/en/new-at-brickmo/lego/39796/lego-star-wars-75192-millennium-falcon-75192?c=6055
Brickmo,40755,LEGO Star Wars 40755 Imperial Dropship vs....,Lego Star Wars,49.55,https://www.brickmo.com/en/new-at-brickmo/lego/85400/lego-star-wars-40755-imperial-dropship-vs.-rebel-scout-speeder-40755?c=6055
Brickmo,75383,LEGO Star Wars 75383 Darth Maul's Sith...,Lego Star Wars,72.28,https://www.brickmo.com/en/new-at-brickmo/lego/67150/lego-star-wars-75383-darth-maul-s-sith-infiltrator-75383?c=6055
Brickmo,75400,LEGO Star Wars 75400 Plo Koon's Jedi...,Lego Star Wars,11.87,https://www.brickmo.com/en/new-at-brickmo/lego/77984/lego-star-wars-75400-plo-koon-s-jedi-starfighter-microfighter-75400?c=6055
Brickmo,75397,LEGO Star Wars 75397 Jabba's Sail Barge 75397,Lego Star Wars,449.45,https://www.brickmo.com/en/new-at-brickmo/lego/90044/lego-star-wars-75397-jabba-s-sail-barge-75397?c=6055
Brickmo,75453,LEGO Star Wars 75453 Offworld Sandcrawler and...,Lego Star Wars,165.28,https://www.brickmo.com/en/new-at-brickmo/lego/87321/lego-star-wars-75453-offworld-sandcrawler-and-mudhorn-75453?c=6055
Brickmo,75454,LEGO Star Wars 75454 Imperial Remnant AT-AT...,Lego Star Wars,132.58,https://www.brickmo.com/en/new-at-brickmo/lego/87331/lego-star-wars-75454-imperial-remnant-at-at-with-int-4-75454?c=6055
Brickmo,75349,LEGO Star Wars 75349 Captain Rex Helmet 75349,Lego Star Wars,72.28,https://www.brickmo.com/en/new-at-brickmo/lego/52945/lego-star-wars-75349-captain-rex-helmet-75349?c=6055
Brickmo,75345,LEGO Star Wars 75345 501st Clone Troopers...,Lego Star Wars,20.62,https://www.brickmo.com/en/new-at-brickmo/lego/52104/lego-star-wars-75345-501st-clone-troopers-battle-pack-75345?c=6055
Brickmo,75401,LEGO Star Wars 75401 Ahsoka's Jedi Interceptor...,Lego Star Wars,37.15,https://www.brickmo.com/en/new-at-brickmo/lego/72213/lego-star-wars-75401-ahsoka-s-jedi-interceptor-75401?c=6055
Brickmo,75347,LEGO Star Wars 75347 TIE Bomber 75347,Lego Star Wars,54.76,https://www.brickmo.com/en/new-at-brickmo/lego/52103/lego-star-wars-75347-tie-bomber-75347?c=6055
Brickmo,75404,LEGO Star Wars 75404 Acclamator-Class Assault...,Lego Star Wars,41.28,https://www.brickmo.com/en/new-at-brickmo/lego/72220/lego-star-wars-75404-acclamator-class-assault-ship-75404?c=6055
Brickmo,75403,LEGO Star Wars 75403 Grogu with Hover Pram 75403,Lego Star Wars,82.62,https://www.brickmo.com/en/new-at-brickmo/lego/72221/lego-star-wars-75403-grogu-with-hover-pram-75403?c=6055
Brickmo,75333,LEGO Star Wars 75333 Obi-Wan Kenobi’s Jedi...,Lego Star Wars,36.12,https://www.brickmo.com/en/new-at-brickmo/lego/48275/lego-star-wars-75333-obi-wan-kenobi-s-jedi-starfighter-75333?c=6055
Brickmo,75373,LEGO Star Wars 75373 Ambush on Mandalore Battle...,Lego Star Wars,20.62,https://www.brickmo.com/en/new-at-brickmo/lego/65593/lego-star-wars-75373-ambush-on-mandalore-battle-pack-75373?c=6055
Brickmo,75325,LEGO Star Wars 75325 The Mandalorian´s N-1...,Lego Star Wars,60.97,https://www.brickmo.com/en/new-at-brickmo/lego/45737/lego-star-wars-75325-the-mandalorian-s-n-1-starfighter-75325?c=6055
Brickmo,75456,LEGO Star Wars 75456 Advent Calendar 2026 75456,Lego Star Wars,27.85,https://www.brickmo.com/en/new-at-brickmo/lego/87099/lego-star-wars-75456-advent-calendar-2026-75456?c=6055
Brickmo,75451,LEGO Star Wars 75451 Hutt Palace Sentry Droid...,Lego Star Wars,39.68,https://www.brickmo.com/en/new-at-brickmo/lego/87088/lego-star-wars-75451-hutt-palace-sentry-droid-showdown-75451?c=6055
Brickmo,75439,LEGO Star Wars 75439 Darth Vader Bust 75439,Lego Star Wars,40.25,https://www.brickmo.com/en/new-at-brickmo/lego/82981/lego-star-wars-75439-darth-vader-bust-75439?c=6055
Brickmo,75438,LEGO Star Wars 75438 Yoda Bust 75438,Lego Star Wars,31.98,https://www.brickmo.com/en/new-at-brickmo/lego/82982/lego-star-wars-75438-yoda-bust-75438?c=6055
Brickmo,75446,LEGO Star Wars 75446 Grogu (Mandalorian...,Lego Star Wars,107.93,https://www.brickmo.com/en/new-at-brickmo/lego/82984/lego-star-wars-75446-grogu-mandalorian-apprentice-75446?c=6055
