shop,ProductID,name,category,price,url
JB Spielwaren,42697,LEGO 42697 Creative Dollhouse Suitcase,Lego Friends,42.49,https://www.jb-spielwaren.de/en/lego-42697-creative-dollhouse-suitcase/a-42697/
JB Spielwaren,42694,LEGO 42694 Pizza Truck,Lego Friends,12.74,https://www.jb-spielwaren.de/en/lego-42694-pizza-truck/a-42694/
JB Spielwaren,42682,LEGO 42682 Nature Glamping Cabin,Lego Friends,21.24,https://www.jb-spielwaren.de/en/lego-42682-nature-glamping-cabin/a-42682/
JB Spielwaren,42676,LEGO 42676 Fun Water Park Day,Lego Friends,25.49,https://www.jb-spielwaren.de/en/lego-42676-fun-water-park-day/a-42676/
JB Spielwaren,42690,LEGO 42690 Forest Tea Party,Lego Friends,8.49,https://www.jb-spielwaren.de/en/lego-42690-forest-tea-party/a-42690/
JB Spielwaren,42699,LEGO 42699 Beach House with Seals,Lego Friends,42.49,https://www.jb-spielwaren.de/en/lego-42699-beach-house-with-seals/a-42699/
JB Spielwaren,42695,LEGO 42695 Horse & Baby Foal Trailer,Lego Friends,25.49,https://www.jb-spielwaren.de/en/lego-42695-horse-baby-foal-trailer/a-42695/
JB Spielwaren,42692,LEGO 42692 Ice Cream & Balloon Stand,Lego Friends,8.49,https://www.jb-spielwaren.de/en/lego-42692-ice-cream-balloon-stand/a-42692/
JB Spielwaren,42689,LEGO 42689 Heartlake City Friends Club House,Lego Friends,71.99,https://www.jb-spielwaren.de/en/lego-42689-heartlake-city-friends-club-house/a-42689/
JB Spielwaren,42696,LEGO 42696 Animal Vet Clinic,Lego Friends,25.49,https://www.jb-spielwaren.de/en/lego-42696-animal-vet-clinic/a-42696/
JB Spielwaren,42686,LEGO 42686 Fun Indoor Playground,Lego Friends,47.99,https://www.jb-spielwaren.de/en/lego-42686-fun-indoor-playground/a-42686/
JB Spielwaren,42685,LEGO 42685 Heartlake City Fashion Show,Lego Friends,42.49,https://www.jb-spielwaren.de/en/lego-42685-heartlake-city-fashion-show/a-42685/
JB Spielwaren,42687,LEGO 42687 Liann's Family House,Lego Friends,55.99,https://www.jb-spielwaren.de/en/lego-42687-liann-s-family-house/a-42687/
JB Spielwaren,42688,LEGO 42688 Horse Stable and Riding Academy,Lego Friends,55.99,https://www.jb-spielwaren.de/en/lego-42688-horse-stable-and-riding-academy/a-42688/
JB Spielwaren,42684,LEGO 42684 Unicorn Dream Café,Lego Friends,33.99,https://www.jb-spielwaren.de/en/lego-42684-unicorn-dream-cafe/a-42684/
JB Spielwaren,42681,LEGO 42681 Axolotl Adventure Boat,Lego Friends,8.49,https://www.jb-spielwaren.de/en/lego-42681-axolotl-adventure-boat/a-42681/
JB Spielwaren,42680,LEGO 42680 Heartlake City Convenience Store,Lego Friends,16.99,https://www.jb-spielwaren.de/en/lego-42680-heartlake-city-convenience-store/a-42680/
JB Spielwaren,11386,LEGO 11386 SpongeBob SquarePants: Bikini Bottom,Lego Icons,178.49,https://www.jb-spielwaren.de/en/lego-11386-spongebob-squarepants-bikini-bottom/a-11386/
JB Spielwaren,11381,LEGO 11381 Jaguar E-Type,Lego Icons,118.99,https://www.jb-spielwaren.de/en/lego-11381-jaguar-e-type/a-11381/
JB Spielwaren,11383,LEGO 11383 Mayor Manor,Lego Icons,93.49,https://www.jb-spielwaren.de/en/lego-11383-mayor-manor/a-11383/
JB Spielwaren,11382,LEGO 11382 Hubble Space Telescope,Lego Icons,110.49,https://www.jb-spielwaren.de/en/lego-11382-hubble-space-telescope/a-11382/
JB Spielwaren,11380,LEGO 11380 Road Bike,Lego Icons,94.99,https://www.jb-spielwaren.de/en/lego-11380-road-bike/a-11380/
JB Spielwaren,11371,LEGO 11371 Shopping Street,Lego Icons,249.99,https://www.jb-spielwaren.de/en/lego-11371-shopping-street/a-11371/
JB Spielwaren,11370,LEGO 11370 Stranger Things: The Creel House,Lego Icons,279.99,https://www.jb-spielwaren.de/en/lego-11370-stranger-things-the-creel-house/a-11370/
JB Spielwaren,10352,LEGO 10352 The Simpsons™: Krusty Burger,Lego Icons,199.99,https://www.jb-spielwaren.de/en/lego-10352-the-simpsons-krusty-burger/a-10352/
JB Spielwaren,11384,LEGO 11384 Golden Retriever Puppy,Lego Icons,118.99,https://www.jb-spielwaren.de/en/lego-11384-golden-retriever-puppy/a-11384/
JB Spielwaren,11376,LEGO 11376 Ford Model T,Lego Icons,94.99,https://www.jb-spielwaren.de/en/lego-11376-ford-model-t/a-11376/
JB Spielwaren,11373,LEGO 11373 The Lord of the Rings: Sauron's Helmet,Lego Icons,59.99,https://www.jb-spielwaren.de/en/lego-11373-icons-11373/a-11373/
JB Spielwaren,11375,LEGO 11375 Ferrari F2004 & Michael Schumacher,Lego Icons,76.49,https://www.jb-spielwaren.de/en/lego-11375-ferrari-f2004-michael-schumacher/a-11375/
JB Spielwaren,11372,LEGO 11372 ICONS 11372,Lego Icons,87.99,https://www.jb-spielwaren.de/en/lego-11372-icons-11372/a-11372/
JB Spielwaren,10357,LEGO 10357 Shelby Cobra 427 S/C,Lego Icons,149.99,https://www.jb-spielwaren.de/en/lego-10357-shelby-cobra-427-s/c/a-10357/
JB Spielwaren,10358,LEGO 10358 Transformers: Soundwave,Lego Icons,134.99,https://www.jb-spielwaren.de/en/lego-10358-transformers-soundwave/a-10358/
JB Spielwaren,10367,LEGO 10367 The Lord of the Rings: Gandalf vs. Balrog,Lego Icons,101.99,https://www.jb-spielwaren.de/en/lego-10367-the-lord-of-the-rings-gandalf-vs-balrog/a-10367/
JB Spielwaren,40814,LEGO 40814 Baby Elephant in the Sky,Lego Icons,29.99,https://www.jb-spielwaren.de/en/lego-40814-baby-elephant-in-the-sky/a-40814/
JB Spielwaren,40690,LEGO 40690 Homage to the books of Jules Verne,Lego Icons,34.99,https://www.jb-spielwaren.de/en/lego-40690-homage-to-the-books-of-jules-verne/a-40690/
JB Spielwaren,40744,LEGO 40744 Christmas Ornament Selection,Lego Icons,11.04,https://www.jb-spielwaren.de/en/lego-40744-christmas-ornament-selection/a-40744/
JB Spielwaren,40721,LEGO 40721 Halloween Barn,Lego Icons,11.99,https://www.jb-spielwaren.de/en/lego-40721-halloween-barn/a-40721/
JB Spielwaren,40743,LEGO 40743 Christmas Table Decoration,Lego Icons,33.99,https://www.jb-spielwaren.de/en/lego-40743-christmas-table-decoration/a-40743/
JB Spielwaren,40813,LEGO 40813 Lucky Cat,Lego Icons,25.49,https://www.jb-spielwaren.de/en/lego-40813-lucky-cat/a-40813/
