shop,category,name,price,url
JB Spielwaren,Lego Friends,LEGO 42682 Nature Glamping Cabin,21.24,https://www.jb-spielwaren.de/en/lego-42682-nature-glamping-cabin/a-42682/
JB Spielwaren,Lego Friends,LEGO 42676 Fun Water Park Day,25.49,https://www.jb-spielwaren.de/en/lego-42676-fun-water-park-day/a-42676/
JB Spielwaren,Lego Friends,LEGO 42690 Forest Tea Party,8.49,https://www.jb-spielwaren.de/en/lego-42690-forest-tea-party/a-42690/
JB Spielwaren,Lego Friends,LEGO 42699 Beach House with Seals,42.49,https://www.jb-spielwaren.de/en/lego-42699-beach-house-with-seals/a-42699/
JB Spielwaren,Lego Friends,LEGO 42695 Horse & Baby Foal Trailer,25.49,https://www.jb-spielwaren.de/en/lego-42695-horse-baby-foal-trailer/a-42695/
JB Spielwaren,Lego Friends,LEGO 42692 Ice Cream & Balloon Stand,8.49,https://www.jb-spielwaren.de/en/lego-42692-ice-cream-balloon-stand/a-42692/
JB Spielwaren,Lego Friends,LEGO 42689 Heartlake City Friends Club House,71.99,https://www.jb-spielwaren.de/en/lego-42689-heartlake-city-friends-club-house/a-42689/
JB Spielwaren,Lego Friends,LEGO 42696 Animal Vet Clinic,25.49,https://www.jb-spielwaren.de/en/lego-42696-animal-vet-clinic/a-42696/
JB Spielwaren,Lego Friends,LEGO 42686 Fun Indoor Playground,47.99,https://www.jb-spielwaren.de/en/lego-42686-fun-indoor-playground/a-42686/
JB Spielwaren,Lego Friends,LEGO 42685 Heartlake City Fashion Show,42.49,https://www.jb-spielwaren.de/en/lego-42685-heartlake-city-fashion-show/a-42685/
JB Spielwaren,Lego Friends,LEGO 42687 Liann's Family House,55.99,https://www.jb-spielwaren.de/en/lego-42687-liann-s-family-house/a-42687/
JB Spielwaren,Lego Friends,LEGO 42688 Horse Stable and Riding Academy,55.99,https://www.jb-spielwaren.de/en/lego-42688-horse-stable-and-riding-academy/a-42688/
JB Spielwaren,Lego Friends,LEGO 42684 Unicorn Dream Café,33.99,https://www.jb-spielwaren.de/en/lego-42684-unicorn-dream-cafe/a-42684/
JB Spielwaren,Lego Friends,LEGO 42681 Axolotl Adventure Boat,8.49,https://www.jb-spielwaren.de/en/lego-42681-axolotl-adventure-boat/a-42681/
JB Spielwaren,Lego Friends,LEGO 42680 Heartlake City Convenience Store,16.99,https://www.jb-spielwaren.de/en/lego-42680-heartlake-city-convenience-store/a-42680/
JB Spielwaren,Lego Icons,LEGO 11386 SpongeBob SquarePants: Bikini Bottom,178.49,https://www.jb-spielwaren.de/en/lego-11386-spongebob-squarepants-bikini-bottom/a-11386/
JB Spielwaren,Lego Icons,LEGO 11381 Jaguar E-Type,118.99,https://www.jb-spielwaren.de/en/lego-11381-jaguar-e-type/a-11381/
JB Spielwaren,Lego Icons,LEGO 11383 Mayor Manor,93.49,https://www.jb-spielwaren.de/en/lego-11383-mayor-manor/a-11383/
JB Spielwaren,Lego Icons,LEGO 11382 Hubble Space Telescope,110.49,https://www.jb-spielwaren.de/en/lego-11382-hubble-space-telescope/a-11382/
JB Spielwaren,Lego Icons,LEGO 11380 Road Bike,94.99,https://www.jb-spielwaren.de/en/lego-11380-road-bike/a-11380/
JB Spielwaren,Lego Icons,LEGO 11371 Shopping Street,249.99,https://www.jb-spielwaren.de/en/lego-11371-shopping-street/a-11371/
JB Spielwaren,Lego Icons,LEGO 11370 Stranger Things: The Creel House,279.99,https://www.jb-spielwaren.de/en/lego-11370-stranger-things-the-creel-house/a-11370/
JB Spielwaren,Lego Icons,LEGO 10352 The Simpsons™: Krusty Burger,199.99,https://www.jb-spielwaren.de/en/lego-10352-the-simpsons-krusty-burger/a-10352/
JB Spielwaren,Lego Icons,LEGO 11384 Golden Retriever Puppy,118.99,https://www.jb-spielwaren.de/en/lego-11384-golden-retriever-puppy/a-11384/
JB Spielwaren,Lego Icons,LEGO 11376 Ford Model T,94.99,https://www.jb-spielwaren.de/en/lego-11376-ford-model-t/a-11376/
JB Spielwaren,Lego Icons,LEGO 11373 The Lord of the Rings: Sauron's Helmet,59.99,https://www.jb-spielwaren.de/en/lego-11373-icons-11373/a-11373/
JB Spielwaren,Lego Icons,LEGO 11375 Ferrari F2004 & Michael Schumacher,76.49,https://www.jb-spielwaren.de/en/lego-11375-ferrari-f2004-michael-schumacher/a-11375/
JB Spielwaren,Lego Icons,LEGO 11372 ICONS 11372,87.99,https://www.jb-spielwaren.de/en/lego-11372-icons-11372/a-11372/
JB Spielwaren,Lego Icons,LEGO 10357 Shelby Cobra 427 S/C,149.99,https://www.jb-spielwaren.de/en/lego-10357-shelby-cobra-427-s/c/a-10357/
JB Spielwaren,Lego Icons,LEGO 10358 Transformers: Soundwave,134.99,https://www.jb-spielwaren.de/en/lego-10358-transformers-soundwave/a-10358/
JB Spielwaren,Lego Icons,LEGO 10367 The Lord of the Rings: Gandalf vs. Balrog,101.99,https://www.jb-spielwaren.de/en/lego-10367-the-lord-of-the-rings-gandalf-vs-balrog/a-10367/
JB Spielwaren,Lego Icons,LEGO 40814 Baby Elephant in the Sky,29.99,https://www.jb-spielwaren.de/en/lego-40814-baby-elephant-in-the-sky/a-40814/
JB Spielwaren,Lego Icons,LEGO 40690 Homage to the books of Jules Verne,34.99,https://www.jb-spielwaren.de/en/lego-40690-homage-to-the-books-of-jules-verne/a-40690/
JB Spielwaren,Lego Icons,LEGO 40744 Christmas Ornament Selection,11.04,https://www.jb-spielwaren.de/en/lego-40744-christmas-ornament-selection/a-40744/
JB Spielwaren,Lego Icons,LEGO 40721 Halloween Barn,11.99,https://www.jb-spielwaren.de/en/lego-40721-halloween-barn/a-40721/
JB Spielwaren,Lego Icons,LEGO 40743 Christmas Table Decoration,33.99,https://www.jb-spielwaren.de/en/lego-40743-christmas-table-decoration/a-40743/
JB Spielwaren,Lego Icons,LEGO 40813 Lucky Cat,25.49,https://www.jb-spielwaren.de/en/lego-40813-lucky-cat/a-40813/
JB Spielwaren,Lego Icons,LEGO 10335 Endurance,269.99,https://www.jb-spielwaren.de/en/lego-10335-endurance/a-10335/
JB Spielwaren,Lego Icons,LEGO 40824 Love messenger Tweety,29.74,https://www.jb-spielwaren.de/en/lego-40824-love-messenger-tweety/a-40824/
JB Spielwaren,Lego City,LEGO 60511 Vintage Steam Train,76.49,https://www.jb-spielwaren.de/en/lego-60511-vintage-steam-train/a-60511/
JB Spielwaren,Lego City,LEGO 60506 Classic Beach Streetcar,59.49,https://www.jb-spielwaren.de/en/lego-60506-classic-beach-streetcar/a-60506/
JB Spielwaren,Lego City,LEGO 60494 Dump Truck & Front End Loader,101.99,https://www.jb-spielwaren.de/en/lego-60494-dump-truck-front-end-loader/a-60494/
JB Spielwaren,Lego City,LEGO 60480 Yellow Backhoe Loader,25.49,https://www.jb-spielwaren.de/en/lego-60480-yellow-backhoe-loader/a-60480/
JB Spielwaren,Lego City,LEGO 60492 Passenger Jet,25.49,https://www.jb-spielwaren.de/en/lego-60492-passenger-jet/a-60492/
JB Spielwaren,Lego City,LEGO 60497 Drive-Through Car Wash,46.74,https://www.jb-spielwaren.de/en/lego-60497-drive-through-car-wash/a-60497/
JB Spielwaren,Lego City,LEGO 60496 Pizza Delivery Experience with Vehicles,42.49,https://www.jb-spielwaren.de/en/lego-60496-pizza-delivery-experience-with-vehicles/a-60496/
JB Spielwaren,Lego City,LEGO 60510 Advent Calendar 2026,22.94,https://www.jb-spielwaren.de/en/lego-60510-advent-calendar-2026/a-60510/
